10,40-Mile Air,\N,Q5,MLA,MILE-AIR,United States,Y
22,Aloha Airlines,\N,AQ,AAH,ALOHA,United States,Y
24,American Airlines,\N,AA,AAL,AMERICAN,United States,Y
35,Allegiant Air,\N,G4,AAY,ALLEGIANT,United States,Y
109,Alaska Central Express,\N,KO,AER,ACE AIR,United States,Y
149,Air Cargo Carriers,\N,2Q,SNC,NIGHT CARGO,United States,Y
210,Airlift International,\N,,AIR,AIRLIFT,United States,Y
281,America West Airlines,\N,HP,AWE,CACTUS,United States,Y
282,Air Wisconsin,\N,ZW,AWI,AIR WISCONSIN,United States,Y
287,Allegheny Commuter Airlines,\N,,ALO,ALLEGHENY,United States,Y
295,Air Sunshine,\N,,RSI,AIR SUNSHINE,United States,Y
315,ATA Airlines,\N,,AMT,AMTRAN,United States,Y
397,Arrow Air,\N,JW,APW,BIG A,United States,Y
452,Atlantic Southeast Airlines,\N,EV,ASQ,ACEY,United States,Y
659,American Eagle Airlines,\N,MQ,EGF,EAGLE FLIGHT,United States,Y
792,Access Air,\N,ZA,CYD,CYCLONE,United States,Y
882,Air Florida,\N,QH,FLZ,AIR FLORIDA,United States,Y
928,Atlas Air,\N,5Y,GTI,GIANT,United States,Y
1316,AirTran Airways,\N,FL,TRS,CITRUS,United States,Y
1442,Bemidji Airlines,\N,CH,BMJ,BEMIDJI,United States,Y
1472,Bering Air,\N,8E,BRG,BERING AIR,United States,Y
1629,Cape Air,\N,9K,KAP,CAIR,United States,Y
1739,Chautauqua Airlines,\N,RP,CHQ,CHAUTAUQUA,United States,Y
1814,Coastal Air,\N,DQ,,U.S. Virgin Islands,United States,Y
1821,Colgan Air,\N,9L,CJC,COLGAN,United States,Y
1828,Comair,\N,OH,COM,COMAIR,United States,Y
1843,CommutAir,\N,C5,UCA,COMMUTAIR,United States,Y
1860,Compass Airlines,\N,CP,CPZ,Compass Rose,United States,Y
1881,Continental Airlines,\N,CO,COA,CONTINENTAL,United States,Y
1883,Continental Express,\N,CO,,JETLINK,United States,Y
1884,Continental Micronesia,\N,CS,CMI,AIR MIKE,United States,Y
1931,Crown Airways,\N,,CRO,CROWN AIRWAYS,United States,Y
2009,Delta Air Lines,\N,DL,DAL,DELTA,United States,Y
2261,Evergreen International Airlines,\N,EZ,EIA,EVERGREEN,United States,Y
2293,Express One International,\N,EO,LHN,LONGHORN,United States,Y
2295,ExpressJet,\N,XE,BTA,JET LINK,United States,Y
2404,Florida West International Airways,\N,RF,FWL,FLO WEST,United States,Y
2454,Freedom Air,\N,FP,FRE,FREEDOM,United States,Y
2456,Freedom Airlines,\N,,FRL,FREEDOM AIR,United States,Y
2468,Frontier Airlines,\N,F9,FFT,FRONTIER FLIGHT,United States,Y
2470,Frontier Flying Service,\N,2F,FTA,FRONTIER-AIR,United States,Y
2577,GoJet Airlines,\N,G7,GJS,GATEWAY,United States,Y
2607,Great Lakes Airlines,\N,ZK,GLA,LAKES AIR,United States,Y
2645,Gulfstream International Airlines,\N,,GFT,GULF FLIGHT,United States,Y
2657,Hageland Aviation Services,\N,H6,HAG,HAGELAND,United States,Y
2688,Hawaiian Airlines,\N,HA,HAL,HAWAIIAN,United States,Y
2778,Horizon Air,Horizon Airlines,QX,QXE,HORIZON AIR,United States,Y
2855,Indigo,\N,I9,IBU,INDIGO BLUE,United States,Y
2937,Island Airlines,\N,IS,,,United States,Y
3001,Jet Airways,\N,QJ,,,United States,Y
3029,JetBlue Airways,\N,B6,JBU,JETBLUE,United States,Y
3123,Kenmore Air,\N,M5,KEN,KENMORE,United States,Y
3466,Mesa Airlines,\N,YV,ASH,AIR SHUTTLE,United States,Y
3467,Mesaba Airlines,\N,XJ,MES,MESABA,United States,Y
3494,Midway Airlines,\N,JI,MDW,MIDWAY,United States,Y
3497,Midwest Airlines,\N,YX,MEP,,United States,Y
3641,NetJets,\N,1I,EJA,EXECJET,United States,Y
3644,New England Airlines,\N,EJ,NEA,NEW ENGLAND,United States,Y
3731,Northwest Airlines,\N,NW,NWA,NORTHWEST,United States,Y
3781,Omni Air International,\N,OY,OAE,OMNI-EXPRESS,United States,Y
3860,Pacific Island Aviation,\N,,PSA,PACIFIC ISLE,United States,Y
3865,Pacific Wings,\N,LW,NMI,TSUNAMI,United States,Y
3935,Peninsula Airways,\N,KS,PEN,PENINSULA,United States,Y
3969,Piedmont Airlines (1948-1989),\N,PI,PDT,PIEDMONT,United States,Y
3976,Pinnacle Airlines,\N,9E,FLG,FLAGSHIP,United States,Y
4026,Potomac Air,\N,BK,PDC,DISTRICT,United States,Y
4187,Republic Airlines,\N,RW,RPA,BRICKYARD,United States,Y
4294,Ryan Air Services,\N,,RYA,RYAN AIR,United States,Y
4295,Ryan International Airlines,\N,RD,RYN,RYAN INTERNATIONAL,United States,Y
4335,Seaborne Airlines,\N,BB,SBS,SEABORNE,United States,Y
4342,Scenic Airlines,\N,,SCE,SCENIC,United States,Y
4356,Sun Country Airlines,\N,SY,SCX,SUN COUNTRY,United States,Y
4370,Southeast Air,\N,,SEA,SOUTHEAST AIR,United States,Y
4411,Skagway Air Service,\N,N5,SGY,SKAGWAY AIR,United States,Y
4547,Southwest Airlines,\N,WN,SWA,SOUTHWEST,United States,Y
4589,Skywalk Airlines,\N,AL,SYX,SKYWAY-EX,United States,Y
4687,Spirit Airlines,\N,NK,NKS,SPIRIT WINGS,United States,Y
4738,SkyWest,\N,OO,SKW,SKYWEST,United States,Y
4804,Southern Airways,\N,,SOU,SOUTHERN EXPRESS,United States,Y
4816,South Pacific Island Airways,\N,,SPI,SOUTH PACIFIC,United States,Y
4822,Shuttle America,\N,S5,TCF,MERCURY,United States,Y
5160,Trans States Airlines,\N,AX,LOF,WATERSKI,United States,Y
5207,USA3000 Airlines,\N,U5,GWY,GETAWAY,United States,Y
5209,United Airlines,\N,UA,UAL,UNITED,United States,Y
5265,US Airways,\N,US,USA,U S AIR,United States,Y
5268,US Helicopter,\N,,USH,US-HELI,United States,Y
5279,United States Air Force,\N,,AIO,AIR CHIEF,United States,Y
5284,US Helicopter Corporation,\N,UH,,,United States,Y
5331,Virgin America,\N,VX,VRD,REDWOOD,United States,Y
5424,Western Airlines,\N,WA,WAL,WESTERN,United States,Y
5465,World Airways,\N,WO,WOA,WORLD,United States,Y
8461,Carnival Air Lines,,KW,\N,Carnival Air,United States,Y
8809,Island Air (WP),,WP,MKU,,United States,Y
9833,Epic Holiday,Epic Holidays,FA,4AA,Epic,United States,Y
10123,Texas Wings,,TQ,TXW,TXW,United States,Y
10226,Atifly,,A1,A1F,atifly,United States,Y
10739,Air Choice One,,3E,\N,,United States,Y
10748,Locair,,ZQ,LOC,LOCAIR,United States,Y
10765,SeaPort Airlines,,K5,SQH,SASQUATCH,United States,Y
10776,Salmon Air,,S6,\N,,United States,Y
10912,Alaska Seaplane Service,,J5,\N,,United States,Y
12961,Gryphon Airlines,,6P,\N,,United States,Y
13391,U.S. Air,,-+,--+,,United States,Y
13633,PanAm World Airways,,WQ,PQW,,United States,Y
15887,CBM America,,,XBM,AIRMAX,United States,Y
15975,Black Stallion Airways,,BZ,BSA,Stallion,United States,Y
16135,Yellowstone Club Private Shuttle,,Y1,\N,YCS,United States,Y
16264,Trans Pas Air,,T6,TP6,,United States,Y
16625,Papillon Grand Canyon Helicopters,,HI,\N,,United States,Y
16702,Usa Sky Cargo,USky,E1,ES2,USKY,United States,Y
16726,Era Alaska,,7H,ERR,ERAH,United States,Y
16735,Hankook Air US,,H1,HA1,,United States,Y
16932,Orbit Airlines,Orbit,,OBT,Orbit,United States,Y
17519,SENIC AIRLINES,,YR,\N,,United States,Y
17563,XOJET,,,XOJ,,United States,Y
17628,Orbit International Airlines,,,OAI,OA,United States,Y
17629,Orbit Regional Airlines,,,OAR,OA,United States,Y
17630,Orbit Atlantic Airways,,,OAN,,United States,Y
17841,Aws express,,B0,666,aws,United States,Y
17859,Southjet,,76,SJS,,United States,Y
17860,Southjet connect,,77,ZCS,,United States,Y
17862,Southjet cargo,,78,XAN,,United States,Y
18169,Patriot Airways,,P4,\N,,United States,Y
18178,Vision Airlines (V2),,V2,RBY,RUBY,United States,Y
18239,Yellowtail,,YE,YEL,,United States,Y
18241,Royal Airways,Royal Inc.,KG,RAW,RAW,United States,Y
18257,Executive AirShare,,,XSR,,United States,Y
18529,T.J. Air,,TJ,TJA,T.J. Air,United States,Y
18930,Maryland Air,Maryland,M1,M1F,Maryland Flight,United States,Y
19016,Apache Air,Apache,ZM,IWA,APACHE,United States,Y
19287,National Air Cargo,,N8,NCR,,United States,Y
19290,Eastern Atlantic Virtual Airlines,,13,EAV,EAVA,United States,Y
19350,Comfort Express Virtual Charters Albany,,,EVC,Comfort Express,United States,Y
19351,Comfort Express Virtual Charters,,,CEO,,United States,Y
19433,XAIR USA,,XA,XAU,XAIR,United States,Y
19619,Envoy Air,,,ENY,Envoy,United States,Y
19674,Rainbow Air (RAI),Rainbow Air (RAI),RN,RAB,Rainbow,United States,Y
19676,Rainbow Air Polynesia,Rainbow Air POL,RX,RPO,Rainbow Air,United States,Y
19678,Rainbow Air US,Rainbow Air US,RM,RNY,Rainbow Air,United States,Y
19774,Spike Airlines,Aero Spike,S0,SAL,Spike Air,United States,Y
19804,All America,All America,A2,AL2,,United States,Y
19890,Dense Airways,,KP,DWA,DENSE,United States,Y
19891,Dense Connection,,KZ,DC2,DC2,United States,Y
19917,Jet Suite,,,RSP,Red Stripe,United States,Y
20060,San Dima Air,(Cyber Airlines) Not Real,,SDI,FAREFLIGHT,United States,Y
20222,OneJet,,J1,\N,,United States,Y
20565,Boutique Air (Priv),,4B,BTQ,,United States,Y
20607,Liberty Airways,,LE,LTY,,United States,Y
20710,Silver Airways (3M),,3M,\N,Silver Wings,United States,Y
20808,Alghanim,,,KYA,,United States,Y
20931,Southern Airways Express,Sun Air Express,,LTD,LIGHTSPEED,United States,Y
20976,World Scale Airlines,World Scale,W3,WSS,,United States,Y
20978,All America US,All America US,AG,SSA,,United States,Y
20991,Choice Airways,,,CSX,,United States,Y
20996,Dynamic Airways,,,DYA,,United States,Y
21124,ViaAir,Charter Air Transport,,SRY,Stingray,United States,Y
